decade,newspaper,faces,pages,faces_per_page
1790,GDL,3,20,0.15
1800,GDL,10,36,0.2777777777777778
1810,GDL,2,26,0.07692307692307693
1820,GDL,1,32,0.03125
1830,GDL,2,36,0.05555555555555555
1840,GDL,0,23,0.0
1850,GDL,2,24,0.08333333333333333
1860,GDL,1,24,0.041666666666666664
1870,GDL,1,24,0.041666666666666664
1880,GDL,1,24,0.041666666666666664
1890,GDL,1,26,0.038461538461538464
1900,GDL,4,28,0.14285714285714285
1910,GDL,4,30,0.13333333333333333
1920,GDL,8,28,0.2857142857142857
1930,GDL,8,28,0.2857142857142857
1940,GDL,10,38,0.2631578947368421
1950,GDL,8,48,0.16666666666666666
1960,GDL,25,90,0.2777777777777778
1970,GDL,14,77,0.18181818181818182
1980,GDL,60,135,0.4444444444444444
1990,GDL,115,208,0.5528846153846154
