decade,newspaper,total_pages,pages_with_faces,percent_of_pages_with_face
1870,GDL,24,1,4.166666666666666
1940,GDL,38,8,21.052631578947366
1980,GDL,135,44,32.592592592592595
1890,GDL,26,1,3.8461538461538463
1910,GDL,30,4,13.333333333333334
1840,GDL,23,0,0.0
1990,GDL,208,74,35.57692307692308
1930,GDL,28,6,21.428571428571427
1800,GDL,36,9,25.0
1810,GDL,26,2,7.6923076923076925
1920,GDL,28,6,21.428571428571427
1830,GDL,36,2,5.555555555555555
1970,GDL,77,11,14.285714285714285
1790,GDL,20,3,15.0
1850,GDL,24,2,8.333333333333332
1950,GDL,48,8,16.666666666666664
1860,GDL,24,1,4.166666666666666
1880,GDL,24,1,4.166666666666666
1900,GDL,28,4,14.285714285714285
1960,GDL,90,19,21.11111111111111
1820,GDL,32,1,3.125
