decade,newspaper,faces,pages,faces_per_page
1880,IMP,1,34,0.029411764705882353
1890,IMP,17,51,0.3333333333333333
1900,IMP,25,68,0.36764705882352944
1910,IMP,27,52,0.5192307692307693
1920,IMP,46,64,0.71875
1930,IMP,31,54,0.5740740740740741
1940,IMP,24,56,0.42857142857142855
1950,IMP,105,94,1.1170212765957446
1960,IMP,175,144,1.2152777777777777
1970,IMP,202,200,1.01
1980,IMP,343,210,1.6333333333333333
1990,IMP,210,201,1.044776119402985
2000,IMP,657,216,3.0416666666666665
2010,IMP,699,188,3.7180851063829787
