decade,newspaper,total_pages,pages_with_faces,percent_of_pages_with_face
1920,JDG,110,11,10.0
1890,JDG,52,1,1.9230769230769231
1960,JDG,166,31,18.67469879518072
1980,JDG,305,106,34.75409836065574
1950,JDG,116,29,25.0
1900,JDG,54,9,16.666666666666664
1970,JDG,186,41,22.043010752688172
1830,JDG,54,1,1.8518518518518516
1990,JDG,424,123,29.009433962264154
1930,JDG,104,20,19.230769230769234
1860,JDG,48,3,6.25
1880,JDG,50,5,10.0
1840,JDG,50,1,2.0
1910,JDG,50,4,8.0
1940,JDG,92,10,10.869565217391305
1850,JDG,48,2,4.166666666666666
1870,JDG,46,2,4.3478260869565215
1820,JDG,26,0,0.0
