decade,newspaper,faces,pages,faces_per_page
1880,IMP,1,34,0.029411764705882353
1890,IMP,17,51,0.3333333333333333
1900,IMP,25,68,0.36764705882352944
1910,IMP,27,52,0.5192307692307693
1920,IMP,46,64,0.71875
1930,IMP,31,54,0.5740740740740741
1940,IMP,24,56,0.42857142857142855
1950,IMP,105,94,1.1170212765957446
1960,IMP,175,144,1.2152777777777777
1970,IMP,202,200,1.01
1980,IMP,343,210,1.6333333333333333
1990,IMP,210,201,1.044776119402985
2000,IMP,657,216,3.0416666666666665
2010,IMP,699,188,3.7180851063829787
1820,JDG,0,26,0.0
1830,JDG,1,54,0.018518518518518517
1840,JDG,1,50,0.02
1850,JDG,2,48,0.041666666666666664
1860,JDG,4,48,0.08333333333333333
1870,JDG,5,46,0.10869565217391304
1880,JDG,6,50,0.12
1890,JDG,1,52,0.019230769230769232
1900,JDG,11,54,0.2037037037037037
1910,JDG,6,50,0.12
1920,JDG,21,110,0.19090909090909092
1930,JDG,32,104,0.3076923076923077
1940,JDG,13,92,0.14130434782608695
1950,JDG,49,116,0.4224137931034483
1960,JDG,44,166,0.26506024096385544
1970,JDG,48,186,0.25806451612903225
1980,JDG,143,305,0.46885245901639344
1990,JDG,190,424,0.4481132075471698
1790,GDL,3,20,0.15
1800,GDL,10,36,0.2777777777777778
1810,GDL,2,26,0.07692307692307693
1820,GDL,1,32,0.03125
1830,GDL,2,36,0.05555555555555555
1840,GDL,0,23,0.0
1850,GDL,2,24,0.08333333333333333
1860,GDL,1,24,0.041666666666666664
1870,GDL,1,24,0.041666666666666664
1880,GDL,1,24,0.041666666666666664
1890,GDL,1,26,0.038461538461538464
1900,GDL,4,28,0.14285714285714285
1910,GDL,4,30,0.13333333333333333
1920,GDL,8,28,0.2857142857142857
1930,GDL,8,28,0.2857142857142857
1940,GDL,10,38,0.2631578947368421
1950,GDL,8,48,0.16666666666666666
1960,GDL,25,90,0.2777777777777778
1970,GDL,14,77,0.18181818181818182
1980,GDL,60,135,0.4444444444444444
1990,GDL,115,208,0.5528846153846154
