decade,faces,pages,faces_per_page
1790,3,20,0.15
1800,10,36,0.2777777777777778
1810,2,26,0.07692307692307693
1820,1,58,0.017241379310344827
1830,3,90,0.03333333333333333
1840,1,73,0.0136986301369863
1850,4,72,0.05555555555555555
1860,5,72,0.06944444444444445
1870,6,70,0.08571428571428572
1880,8,108,0.07407407407407407
1890,19,129,0.14728682170542637
1900,40,150,0.26666666666666666
1910,37,132,0.2803030303030303
1920,75,202,0.3712871287128713
1930,71,186,0.3817204301075269
1940,47,186,0.25268817204301075
1950,162,258,0.627906976744186
1960,244,400,0.61
1970,264,463,0.5701943844492441
1980,546,650,0.84
1990,515,833,0.6182472989195679
2000,657,216,3.0416666666666665
2010,699,188,3.7180851063829787
